code;prefLabel
1596971230618280;Mobilidade Tecnológica (Fundação Instituto Brasileiro de Geografia e Estatística - IBGE)
8783662780625220;Grupo de estudo e pesquisa interdisciplinar em Kant- GEPI-Kant (Universidade Federal do Maranhão - UFMA)
7375265413135420;Laboratório de Biogeoquímica Ambiental (Instituto Nacional de Pesquisas Espaciais - INPE)
8369658639893030;Anatomia Vegetal Aplicada (Universidade Federal de Viçosa - UFV)
6562104135388620;Psicologia Organizacional e do Trabalho (Centro Universitário Herminio Ometto de Araras - UNIARARAS)
7840600546746410;Estudos de Teoria Fonológica (Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS)
6625240569508290;Rede Internacional de Políticas e Práticas de Educação e Saúde Coletiva (Rede Interstício) (Universidade Federal do Rio Grande do Sul - UFRGS)
4598082921469420;Fluidos da indústria do petróleo (Universidade Federal Rural do Semi-Árido - UFERSA)
1695587511457220;Pesquisa e Prática em Gestão e Secretariado (Universidade Federal de Santa Catarina - UFSC)
2798421104477500;Grupo de Estudo em doenças Neurológicas de Origem Hereditária no Adulto (Universidade Federal de Minas Gerais - UFMG)
5498571184342180;Programa de Transtornos Afetivos - Gruda (Universidade de São Paulo - USP)
7011426441926460;Estrutura e imunoquímica de glicoconjugados (Universidade Federal de São Paulo - UNIFESP)
0815827944548917;Cultura e violência (Universidade de São Paulo - USP)
9872723304059350;Laboratório Integrativo de Cardiometabologia (LABICAM) (Universidade Federal Fluminense - UFF)
2067617374416120;Calorimetria, Transportes e Magnetometria por SQUID (Universidade Federal de Pernambuco - UFPE)
0468713128995041;Desenho e a Computação Gráfica - Expressão e Comunicação (Faculdades Santa Marcelina - FASM)
3419919190074230;MARTIN (Mecanismos e Arquiteturas de Teleinformática) (Laboratório Nacional de Computação Científica - LNCC)
9504426374164100;Direito Internacional Privado Especializado (Universidade do Estado do Rio de Janeiro - UERJ)
8919252114934470;MEMOIC - Memória, Cultura, Oralidade e Imagem (Universidade de Brasília - UnB)
1254528797864010;Geoestatística Aplicada (Universidade de São Paulo - USP)
1005510699536100;Automação (Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - CEFET/RJ)
1103831676289630;Gestão de águas em edifícios urbanos (Universidade Federal de Goiás - UFG)
5956818717187080;GEECBio (Universidade Federal do Oeste do Pará - UFOPA)
1221845463368890;Grupo de Pesquisa Interdisciplinar Observatório do Trabalho/UCS (Universidade de Caxias do Sul - UCS)
3731808556120420;Grupo de Pesquisa em Literatura, Resistência e Direitos Humanos (GpLRDH) (Universidade Federal do Acre - UFAC)
7811412354209610;Grupo de Estudo e Pesquisa em Educação, Interculturalidade e Emancipação Humana (Universidade Estadual de Roraima - UERR)
4602268437171480;Núcleo de Indicadores Sociais e Ambientais (Fundação de Economia e Estatística - FEE)
7145229204704570;Literatura e conhecimento/Literatur und Erkenntnis (Universidade de São Paulo - USP)
9215089164041860;Manejo da colheita e pós-colheita para manutenção da qualidade do arroz. (Instituto Rio Grandense do Arroz - IRGA)
6155419242393570;Grupo de Pesquisa em Agricultura Amazônica, Biodiversidade e Manejo Sustentável (Instituto de Desenvolvimento Sustentável Mamirauá - IDSM-OS)
2894632952355020;GPPAF - Grupo de Pesquisa em Políticas Públicas e Agricultura Familiar (Universidade Federal do Vale do São Francisco - UNIVASF)
1624842480785290;Psicologia Clínica Preventiva e Psicoterapia Breve Operacionalizada (Universidade de São Paulo - USP)
8150452631655620;DEPPEM - Metodologia de Pesquisa em Música - Influências da música na aprendizagem (Universidade Federal de Goiás - UFG)
4943317603781250;Grupo de Pesquisa em Tratamentos de Materiais por Plasma (Universidade Tecnológica Federal do Paraná - UTFPR)
8984525666896880;Política externa e classes sociais (Universidade Federal do ABC - UFABC)
5431960736182670;Telemedicina, Educação Digital e Saúde Conectada (Universidade de São Paulo - USP)
5079550070385210;Materiais para a Engenharia (Universidade Federal de Itajubá - UNIFEI)
