notation;prefLabel
LC00001;Agricultura
LC00002;Agricultura - Agriculture (General)
LC00003;Agricultura - Agriculture (General) - Química Agrícola. Químicos agrícolas
LC00004;Agricultura - Agriculture (General) - Agricultura de conservação 
LC00005;Agricultura - Agriculture (General) - Agroecologia (Geral)
LC00006;Agricultura - Agriculture (General) - Educação Agrícola
LC00007;Agricultura - Agriculture (General) - Agrometeorologia. Cultivos e clima
LC00008;Agricultura - Agriculture (General) - Missões agrícolas
LC00009;Agricultura - Agriculture (General) - Física do solo
LC00010;Agricultura - Agriculture (General) - Estruturas agrícolas. Construção rural
LC00011;Agricultura - Agriculture (General) - Agricultura e meio ambiente
LC00012;Agricultura - Agriculture (General) - Conservação de recursos naturais
LC00013;Agricultura - Agriculture (General) - Documentos e outras coleções
LC00014;Agricultura - Agriculture (General) - Economia agrícola. Gestão Agrícola. Matemática na agricultura
LC00015;Agricultura - Agriculture (General) - Maquinaria Agrícola e Engenharia Agrícola
LC00016;Agricultura - Agriculture (General) - Fertilizantes e melhoria do solo
LC00017;Agricultura - Agriculture (General) - História
LC00018;Agricultura - Agriculture (General) - Melhoramento: Melhoria
LC00019;Agricultura - Agriculture (General) - Métodos e sistemas de cultura. Sistemas de cultivo
LC00020;Agricultura - Agriculture (General) - Meios de cultivo de plantas. Substrato orgânico
LC00021;Agricultura - Agriculture (General) - Conservação e proteção do solo
LC00022;Agricultura - Agriculture (General) - Solos. Ciência do Solo
LC00023;Agricultura - Cultura animal
LC00024;Agricultura - Cultura animal - Aclimatação
LC00025;Agricultura - Cultura animal - Cultura de abelhas
LC00026;Agricultura - Cultura animal - Pássaros. Gaiola de pássaros 
LC00027;Agricultura - Cultura animal - Marcas e branding e outros meios de identificação
LC00028;Agricultura - Cultura animal - Reprodução e raças
LC00029;Agricultura - Cultura animal - Gado
LC00030;Agricultura - Cultura animal - Custo
LC00031;Agricultura - Cultura animal - Jumentos
LC00032;Agricultura - Cultura animal - Zoologia Econômica 
LC00033;Agricultura - Cultura animal - Equipamentos e suprimentos
LC00034;Agricultura - Cultura animal - Exposições
LC00035;Agricultura - Cultura animal - Rações e alimentação. Nutrição animal
LC00036;Agricultura - Cultura animal - Animais peludos
LC00037;Agricultura - Cultura animal - Pássaros para caça
LC00038;Agricultura - Cultura animal - Cabras
LC00039;Agricultura - Cultura animal - História
LC00040;Agricultura - Cultura animal - Cavalos
LC00041;Agricultura - Cultura animal - Habitação e controle ambiental
LC00042;Agricultura - Cultura animal - Criação de insetos
LC00043;Agricultura - Cultura animal - Animais de laboratório
LC00044;Agricultura - Cultura animal - Kerriidae
LC00045;Agricultura - Cultura animal - Mulas
LC00046;Agricultura - Cultura animal - Pássaros ornamentais
LC00047;Agricultura - Cultura animal - Avestruz
LC00048;Agricultura - Cultura animal - Animais de estimação
LC00049;Agricultura - Cultura animal - Aves. Ovos
LC00050;Agricultura - Cultura animal - Pastagens. Gestão de pastagens. Pastando
LC00051;Agricultura - Cultura animal - Répteis
LC00052;Agricultura - Cultura animal - Sericicultura. Cultura de seda
LC00053;Agricultura - Cultura animal - Ovelhas. Lã
LC00054;Agricultura - Cultura animal - Cultura de pequenos animais
LC00055;Agricultura - Cultura animal - Suíno
LC00056;Agricultura - Cultura animal - Transporte
LC00057;Agricultura - Cultura animal - Medicina Veterinária
LC00058;Agricultura - Cultura animal - Animais de trabalho
LC00059;Agricultura - Cultura animal - Animais do zoológico
LC00060;Agricultura - Aquicultura. Pesca 
LC00061;Agricultura - Aquicultura. Pesca - Pesca
LC00062;Agricultura - Aquicultura. Pesca - Aquicultura
LC00063;Agricultura - Aquicultura. Pesca - Pesca industrial
LC00064;Agricultura - Aquicultura. Pesca - Coleta de frutos do mar
LC00065;Agricultura - Silvicultura
LC00066;Agricultura - Silvicultura - Administração. Política
LC00067;Agricultura - Silvicultura - Conservação e proteção
LC00068;Agricultura - Silvicultura - Documentos
LC00069;Agricultura - Silvicultura - Exploração e utilização
LC00070;Agricultura - Silvicultura - Meteorologia florestal. Microclimatologia florestal
LC00071;Agricultura - Silvicultura - Estradas florestais
LC00072;Agricultura - Silvicultura - Solos florestais
LC00073;Agricultura - Silvicultura - Educação florestal
LC00074;Agricultura - Silvicultura - Maquinaria e Engenharia Florestal
LC00075;Agricultura - Silvicultura - História da silvicultura. Condições da floresta
LC00076;Agricultura - Silvicultura - Silvicultura
LC00077;Agricultura - Silvicultura - Ferramentas e implementos
LC00078;Agricultura - Silvicultura - Viagens
LC00079;Agricultura - Esportes de caça
LC00080;Agricultura - Esportes de caça - Caça de grande porte
LC00081;Agricultura - Esportes de caça - Caça de pássaros. Fowling
LC00082;Agricultura - Esportes de caça - Outra caça
LC00083;Agricultura - Esportes de caça - Caça de predador
LC00084;Agricultura - Esportes de caça - Tiroteio
LC00085;Agricultura - Esportes de caça - Métodos especiais e tipos de caça
LC00086;Agricultura - Esportes de caça - Caça de Varmint (Geral)
LC00087;Agricultura - Esportes de caça - Comércio de animais selvagens
LC00088;Agricultura - Esportes de caça - Manejo da vida selvagem. Proteção da caça
LC00089;Agricultura - Esportes de caça - Recreação relacionada à vida selvagem
LC00090;Agricultura - Cultura de plantas
LC00091;Agricultura - Cultura de plantas - Jardinagem com luz artificial
LC00092;Agricultura - Cultura de plantas - Botânica Econômica
LC00093;Agricultura - Cultura de plantas - Zoologia econômica aplicada aos cultivos. Zoologia Agrícola
LC00094;Agricultura - Cultura de plantas - Colheitas de campo
LC00095;Agricultura - Cultura de plantas - Flores e cultivo de flores. Plantas ornamentais
LC00096;Agricultura - Cultura de plantas - Cultivos alimentares
LC00097;Agricultura - Cultura de plantas - Forcing
LC00098;Agricultura - Cultura de plantas - Frutas e fruticultura
LC00099;Agricultura - Cultura de plantas - Jardins e jardinagem
LC00100;Agricultura - Cultura de plantas - Reguladores de crescimento
LC00101;Agricultura - Cultura de plantas - Colheita
LC00102;Agricultura - Cultura de plantas - História
LC00103;Agricultura - Cultura de plantas - Viagens hortícolas
LC00104;Agricultura - Cultura de plantas - Horticultura. Culturas hortícolas
LC00105;Agricultura - Cultura de plantas - Hidroponia. Agricultura sem solo
LC00106;Agricultura - Cultura de plantas - Agricultura irrigada
LC00107;Agricultura - Cultura de plantas - Jardinagem paisagística. Arquitetura paisagista 
LC00108;Agricultura - Cultura de plantas - Métodos para áreas especiais
LC00109;Agricultura - Cultura de plantas - Viveiros. Indústria de viveiros
LC00110;Agricultura - Cultura de plantas - Parques e reservas públicas
LC00111;Agricultura - Cultura de plantas - Pragas e doenças
LC00112;Agricultura - Cultura de plantas - Propagação
LC00113;Agricultura - Cultura de plantas - Sementes. Tecnologia de sementes
LC00114;Agricultura - Cultura de plantas - Treinamento e poda
LC00115;Agricultura - Cultura de plantas - Cultivo de árvores
LC00116;Agricultura - Cultura de plantas - Vegetais
LC00117;Ciências auxiliares da História
LC00118;Ciências auxiliares da História - Cultura de plantas
LC00119;Ciências auxiliares da História - Arqueologia
LC00120;Ciências auxiliares da História - Arqueologia - Sinos. Campanologia. Cowbells
LC00121;Ciências auxiliares da História - Arqueologia - Marco de fronteira
LC00122;Ciências auxiliares da História - Arqueologia - Cruzes
LC00123;Ciências auxiliares da História - Arqueologia - Falsificações de antiguidades
LC00124;Ciências auxiliares da História - Arqueologia - Figuras de colina
LC00125;Ciências auxiliares da História - Arqueologia - Lanternas dos mortos
LC00126;Ciências auxiliares da História - Arqueologia - Filosofia. Teoria
LC00127;Ciências auxiliares da História - Arqueologia - Preservação
LC00128;Ciências auxiliares da História - Arqueologia - Montes de pedra
LC00129;Ciências auxiliares da História - Arqueologia - Estudo e ensino. Pesquisa
LC00130;Ciências auxiliares da História - Ciências auxiliares da História (Geral)
LC00131;Ciências auxiliares da História - Biografia
LC00132;Ciências auxiliares da História - Biografia - Biografia como arte ou forma literária
LC00133;Ciências auxiliares da História - Biografia - Biografia. Por assunto
LC00134;Ciências auxiliares da História - Biografia - Biografia coletiva geral
LC00135;Ciências auxiliares da História - Biografia - História da literatura biográfica. Vidas de biógrafos
LC00136;Ciências auxiliares da História - Biografia - Biografia nacional
LC00137;Ciências auxiliares da História - Diplomática. Arquivos. Selos
LC00138;Ciências auxiliares da História - Diplomática. Arquivos. Selos - Arquivos
LC00139;Ciências auxiliares da História - Diplomática. Arquivos. Selos - Diplomáticos
LC00140;Ciências auxiliares da História - Diplomática. Arquivos. Selos - Selos
LC00141;Ciências auxiliares da História - Genealogia
LC00142;Ciências auxiliares da História - Genealogia - História da família cobrindo mais de um país
LC00143;Ciências auxiliares da História - Genealogia - Listas genealógicas
LC00144;Ciências auxiliares da História - Genealogia - Nomes pessoais e de família
LC00145;Ciências auxiliares da História - Heráldica
LC00146;Ciências auxiliares da História - Heráldica - Cavalaria e cavaleiros (ordens
LC00147;Ciências auxiliares da História - Heráldica - Brasões
LC00148;Ciências auxiliares da História - Heráldica - Heráldica eclesiástica e sagrada
LC00149;Ciências auxiliares da História - Heráldica - Heráldica familiar
LC00150;Ciências auxiliares da História - Heráldica - Bandeiras
LC00151;Ciências auxiliares da História - Heráldica - Heráldica pública e oficial
LC00152;Ciências auxiliares da História - Heráldica - Realeza. Insígnia. Regalia
LC00153;Ciências auxiliares da História - Heráldica - Escudos e suportes
LC00154;Ciências auxiliares da História - Heráldica - Títulos de honra
LC00155;Ciências auxiliares da História - História da Civilização
LC00156;Ciências auxiliares da História - História da Civilização - Civilização e raça
LC00157;Ciências auxiliares da História - História da Civilização - Previsões de progresso futuro
LC00158;Ciências auxiliares da História - História da Civilização - Relação com tópicos especiais
LC00159;Ciências auxiliares da História - História da Civilização - Evidência terrestre de viagens interplanetárias
LC00160;Ciências auxiliares da História - Inscrições. Epigrafia
LC00161;Ciências auxiliares da História - Inscrições. Epigrafia - Inscrições antigas
LC00162;Ciências auxiliares da História - Inscrições. Epigrafia - Inscrições cristãs primitivas
LC00163;Ciências auxiliares da História - Inscrições. Epigrafia - Inscrições medievais (Geral)
LC00164;Ciências auxiliares da História - Inscrições. Epigrafia - Inscrições modernas (Geral)
LC00165;Ciências auxiliares da História - Numismática
LC00166;Ciências auxiliares da História - Numismática - Moedas
LC00167;Ciências auxiliares da História - Numismática - Medalhas e medalhões
LC00168;Ciências auxiliares da História - Numismática - Tokens
LC00169;Ciências auxiliares da História - Cronologia técnica. Calendário
LC00170;Ciências auxiliares da História - Cronologia técnica. Calendário - Ancestral
LC00171;Ciências auxiliares da História - Cronologia técnica. Calendário - Medieval e moderno
LC00172;Ciências auxiliares da História - Cronologia técnica. Calendário - Calendários perpétuos. Calendários seculares
LC00173;Bibliografia
LC00174;Bibliografia. Biblioteconomia. Recursos de informação - Cronologia técnica. Calendário
LC00175;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros
LC00176;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros - Design de livro
LC00177;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros - Encadernação. Decoração de livro
LC00178;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros - Venda de livros e publicação
LC00179;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros - Direito autoral
LC00180;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros - Liberdade de imprensa. Censura
LC00181;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros - Impressão
LC00182;Bibliografia. Biblioteconomia. Recursos de informação - Indústria e comércio de livros - Tratados sobre o livro impresso moderno
LC00183;Bibliografia. Biblioteconomia. Recursos de informação - Livros (Geral). Escrita. Paleografia
LC00184;Bibliografia. Biblioteconomia. Recursos de informação - Livros (Geral). Escrita. Paleografia - História dos livros e da confecção de livros
LC00185;Bibliografia. Biblioteconomia. Recursos de informação - Livros (Geral). Escrita. Paleografia - Manuscritos. Paleografia
LC00186;Bibliografia. Biblioteconomia. Recursos de informação - Livros (Geral). Escrita. Paleografia - Escrita
LC00187;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral
LC00188;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Anônimos e pseudônimos
LC00189;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Melhores livros
LC00190;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Biografia de bibliógrafos
LC00191;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Livros para classes especiais de pessoas
LC00192;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Catálogos gerais de livrarias de livros modernos
LC00193;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Escolha de livros. Livros e leitura. Resenhas de livros
LC00194;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Bibliografias gerais
LC00195;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Introdução à bibliografia. Teoria
