CODE;LEGENDA
1.00.00.00.00.00.3;Ciências exatas e da terra
1.00.10.00.00.00.8;Matemática
1.00.10.01.00.00.4;Álgebra
1.00.10.01.00.10.2;Conjuntos
1.00.10.01.00.20.0;Lógica matemática
1.00.10.01.00.30.9;Teoria dos números
1.00.10.01.00.40.7;Grupos de algebra não-comutaviva
1.00.10.01.00.50.5;Álgebra comutativa
1.00.10.01.00.60.3;Geometria algébrica
1.00.10.02.00.00.0;Análise
1.00.10.02.00.10.9;Análise complexa
1.00.10.02.00.20.7;Análise funcional
1.00.10.02.00.30.5;Análise funcional não-linear
1.00.10.02.00.40.3;Equações diferenciais ordinárias
1.00.10.02.00.50.1;Equações diferenciais parciais
1.00.10.02.00.60.0;Equações diferenciais funcionais
1.00.10.03.00.00.7;Geometria e topologia
1.00.10.03.00.10.5;Geometria diferencial
1.00.10.03.00.20.3;Topologia algébrica
1.00.10.03.00.30.1;Topologia das variedades
1.00.10.03.00.40.0;Sistemas dinâmicos
1.00.10.03.00.50.8;Teoria das singularidades e teoria das catástrofes
1.00.10.03.00.60.6;Teoria das folheações
1.00.10.04.00.00.3;Matemática aplicada
1.00.10.04.00.10.1;Física matemática
1.00.10.04.00.20.0;Análise numérica
1.00.10.04.00.30.8;Matemática discreta e combinatória
1.00.20.00.00.00.2;Probabilidade e estatística
1.00.20.01.00.00.9;Probabilidade
1.00.20.01.00.10.7;Teoria geral e fundamentos da probabilidade
1.00.20.01.00.20.5;Teoria geral e processos estocásticos
1.00.20.01.00.30.3;Teoremas de limite
1.00.20.01.00.40.1;Processos markovianos
1.00.20.01.00.50.0;Análise estocástica
1.00.20.01.00.60.8;Processos estocásticos especiais
1.00.20.02.00.00.5;Estatística
1.00.20.02.00.10.3;Fundamentos da estatística
1.00.20.02.00.20.1;Inferência paramétrica
1.00.20.02.00.30.0;Inferência não-paramétrica
1.00.20.02.00.40.8;Inferência em processos estocásticos
1.00.20.02.00.50.6;Análise multivariada
1.00.20.02.00.60.4;Regressão e correlação
1.00.20.02.00.70.2;Planejamento de experimentos
1.00.20.02.00.80.0;Análise de dados
1.00.20.03.00.00.1;Probabilidade e estatística aplicadas
1.00.30.00.00.00.7;Ciência da computação
1.00.30.01.00.00.3;Teoria da computação
1.00.30.01.00.10.1;Computabilidade e modelos de computação
1.00.30.01.00.20.0;Linguagem formais e autômatos
1.00.30.01.00.30.8;Análise de algoritmos e complexidade de computação
1.00.30.01.00.40.6;Lógicas e semântica de programas
1.00.30.02.00.00.0;Matemática da computação
1.00.30.02.00.10.8;Matemática simbólica
1.00.30.02.00.20.6;Modelos analíticos e de simulação
1.00.30.03.00.00.6;Metodologia e técnicas da computação
1.00.30.03.00.10.4;Linguagens de programação
1.00.30.03.00.20.2;Engenharia de software
1.00.30.03.00.30.0;Banco de dados
1.00.30.03.00.40.9;Sistemas de informação
1.00.30.03.00.50.7;Processamento gráfico (graphics)
1.00.30.04.00.00.2;Sistemas de computação
1.00.30.04.00.10.0;Hardware
1.00.30.04.00.20.9;Arquitetura de sistemas de computação
1.00.30.04.00.30.7;Software básico
1.00.30.04.00.40.5;Teleinformática
1.00.40.00.00.00.1;Astronomia
1.00.40.01.00.00.8;Astronomia de posição e mecânica celeste
1.00.40.01.00.10.6;Astronomia fundamental
1.00.40.01.00.20.4;Astronomia dinâmica
1.00.40.02.00.00.4;Astrofísica estelar
1.00.40.03.00.00.0;Astrofísica do meio interestelar
1.00.40.03.00.10.9;Meio interestelar
1.00.40.03.00.20.7;Nebulosa
1.00.40.04.00.00.7;Astrofísica extragaláctica
1.00.40.04.00.10.5;Galáxias
1.00.40.04.00.20.3;Aglomerados de galáxias
1.00.40.04.00.30.1;Quasares
1.00.40.04.00.40.0;Cosmologia
1.00.40.05.00.00.3;Astrofísica do sistema solar
1.00.40.05.00.10.1;Física solar
1.00.40.05.00.20.0;Movimento da terra
1.00.40.05.00.30.8;Sistema planetário
1.00.40.06.00.00.0;Instrumentação astronômica
1.00.40.06.00.10.8;Astronomia ótica
1.00.40.06.00.20.6;Radioastronomia
1.00.40.06.00.30.4;Astronomia espacial
1.00.40.06.00.40.2;Processamento de dados astronômicos
1.00.50.00.00.00.6;Física
1.00.50.01.00.00.2;Física geral
1.00.50.01.00.10.0;Métodos matemáticos da física
1.00.50.01.00.20.9;Física clássica e física quântica mecânica e campos
1.00.50.01.00.30.7;Relatividade e gravitação
1.00.50.01.00.40.5;Física estatística e termodinâmica
1.00.50.01.00.50.3;Metrologia, técnicas gerais de laboratório, sistema de instrumentação
1.00.50.01.00.60.1;Instrumentação específica de uso geral em física
1.00.50.02.00.00.9;Áreas clássicas de fenomenologia e suas aplicações
