Nível 1 - Inglês|Nível 1 - Português|Nível 2 - Inglês|Nível 2 - Português|Nível 3 - Inglês|Nível 3 - Português
Agriculture|Agricultura||||
||Agriculture (General)|Agricultura (Geral)||
||||Agricultural chemistry. Agricultural chemicals|Química Agrícola. Químicos agrícolas
||||Agricultural conservation|Agricultura de conservação 
||||Agricultural ecology (General)|Agroecologia (Geral)
||||Agricultural education|Educação Agrícola
||||Agricultural meteorology. Crops and climate|Agrometeorologia. Cultivos e clima
||||Agricultural missions, voyages, etc.|Missões agrícolas, viagens, etc.
||||Agricultural physics|Física do solo
||||Agricultural structures. Farm buildings|Estruturas agrícolas. Construção rural
||||Agriculture and the environment|Agricultura e meio ambiente
||||Conservation of natural resources|Conservação de recursos naturais
||||Documents and other collections|Documentos e outras coleções
||||Farm economics. Farm management. Agricultural mathematics |Economia agrícola. Gestão Agrícola. Matemática na agricultura
||||Farm machinery and farm engineering|Maquinaria Agrícola e Engenharia Agrícola
||||Fertilizers and improvement of the soil|Fertilizantes e melhoria do solo
||||History|História
||||Melioration: Improvement, reclamation, fertilization, irrigation, etc., of lands|Melhoramento: Melhoria, recuperação, fertilização, irrigação, etc., de solos
||||Methods and systems of culture. Cropping systems |Métodos e sistemas de cultura. Sistemas de cultivo
||||Plant growing media. Potting soils|Meios de cultivo de plantas. Substrato orgânico
||||Soil conservation and protection|Conservação e proteção do solo
||||Soils. Soil science|Solos. Ciência do Solo
||Animal culture|Cultura animal||
||||Acclimatization|Aclimatação
||||Bee culture|Cultura de abelhas
||||Birds. Cage birds|Pássaros. Gaiola de pássaros 
||||Brands and branding, and other means of identifying|Marcas e branding e outros meios de identificação
||||Breeding and breeds|Reprodução e raças
||||Cattle|Gado
||||Cost, yield, and profit. Accounting|Custo, rendimento e lucro. Contabilidade
||||Donkeys|Jumentos
||||Economic zoology|Zoologia Econômica 
||||Equipment and supplies|Equipamentos e suprimentos
||||Exhibitions|Exposições
||||Feeds and feeding. Animal nutrition|Rações e alimentação. Nutrição animal
||||Fur-bearing animals|Animais peludos
||||Game birds|Pássaros para caça
